element,area,priority,finding,recommendation,evidence,arreglado
Earth,element_balance,Baja,Earth tiene win_rate alto (43%) pero pocos datos,Recolectar más sesiones de Earth (n=7 actual) para confirmar si el Stun es demasiado poderoso.,"puntuacion_global Earth=0.510, n=7 (insuficiente)",False
Todos,spell_balance,Alta,Beam muy superior al resto (2.1 kills/cast en Fire),Reducir duración o daño por tick de Beam. Actualmente es el hechizo más eficiente con diferencia.,Beam=2.15 kills/cast (Fire) vs Projectile=0.29 kills/cast,False
Todos,spell_balance,Media,AOE infrautilizado pese a alta eficiencia,Mejorar feedback visual/sonoro de AOE para que los jugadores entiendan su utilidad. Considerar tutorial o hint.,AOE uso <5% del total de lanzamientos; eficiencia alta cuando se usa,False
Todos,spell_balance,Media,noMana frecuente en Blast indica demanda insatisfecha de maná,Reducir coste de maná de Blast o aumentar regeneración base de maná.,Blast acumula mayor número de eventos noMana del dataset,False
Earth,spell_balance,Media,Earth/AOE: alta eficiencia teórica pero muy pocos casts,Los jugadores de Earth no están usando EarthSlamSpikesAoe. Revisar si el input es intuitivo o si hay bug de activación.,EarthSlamSpikesAoe: 0 kills en varias sesiones pese a casts registrados,False
Todos,difficulty,Alta,Dataset insuficiente para conclusiones estadísticas robustas,Recolectar mínimo 30 sesiones por elemento antes de tomar decisiones de balance definitivas.,"n=34 sesiones limpias, Fire=11, Earth=7, Water=9, Wind=7",False
Todos,difficulty,Media,Level1 es el mayor cuello de botella del funnel,"Revisar dificultad de Level1, especialmente Room_Boss. Considerar reducir HP del Barbarian1HBoss introductorio.",30% de sesiones no pasan de Level1 (mayor caída del funnel),False
Todos,difficulty,Media,attempt > 1 frecuente (grinding) en niveles medios,Revisar si los checkpoints están bien distribuidos. Un attempt alto indica que el jugador repite el nivel varias veces.,Varias sesiones con attempt>1 en Level2 y Level3,False
Todos,difficulty,Baja,Jugador pide que enemigos no se activen al entrar para planificar estrategia,Considerar añadir un breve periodo de gracia (1-2s) al entrar en sala antes de que los enemigos se activen.,Comentario de jugador en playerCommentContext,False
Todos,enemy_balance,Alta,RangerCrossbow inflige el mayor daño total al jugador,Revisar DPS y frecuencia de ataque de RangerCrossbow. Posible sobreescalado respecto al resto de enemigos.,"RangerCrossbow daño total=7282 pts, 2.2x más que el segundo (Knight2H=3297)",False
Todos,enemy_balance,Media,KnightBossGold tiene ratio blocked/kills muy alto (12.7),Revisar blockChance de KnightBossGold — bloquea 12.7 ataques por kill. Considerar reducir blockChance o añadir mecánica de rotura de guardia.,blocked/kills KnightBossGold=12.69 vs Knight1H=2.70,False
Todos,enemy_balance,Media,Barbarian1HBoss (boss Level1) tiene tasa de kill baja para ser el boss introductorio,Reducir HP o velocidad de ataque del Barbarian1HBoss para que sea accesible a jugadores nuevos.,Tasa de kill Barbarian1HBoss < 70% siendo el primer boss del juego,False
Todos,nlp,Baja,Sentimiento general neutro-positivo pero pocos comentarios,Incentivar a los jugadores a dejar comentarios más detallados. Añadir prompt contextual al finalizar cada nivel.,"nlp_results: n=7 comentarios, sentiment_score medio=0.48",False
Todos,nlp,Baja,Comentarios mencionan confusión con mecánicas de hechizos especiales,Añadir tooltips o tutorial breve explicando Beam y AOE antes del primer uso.,Topic modeling: tópico principal relacionado con confusión de controles,False
Todos,spell_balance,Alta,Beam (0.00 kills/cast) vs Projectile (0.000) — desbalance x0,Rebalancear: reducir daño de Beam o aumentar velocidad/daño de Projectile para igualar su valor competitivo. Beam domina demasiado.,"EDA: Beam=0.000, Blast=0.000, Projectile=0.000, AOE=0.000",False
Todos,sample_size,Alta,"Dataset insuficiente: n=34 sesiones limpias, Fire=11, Earth=7, Water=9, Wind=7",Recolectar mínimo 30 sesiones por elemento antes de tomar decisiones de balance basadas en estadística. Actualizar resultados con datos frescos.,Estadística Fase 3: check_sample_size() — todos los grupos < 30,False
Todos,difficulty,Media,Level1 es el mayor cuello de botella del funnel (mayor tasa de abandono),Revisar la dificultad del primer nivel. Considerar una sala tutorial o reducir el daño de los primeros enemigos para mejorar la retención inicial.,EDA: funnel de niveles — Level1 tiene mayor tasa de sesiones que no progresan,False
Todos,spell_balance,Media,AOE eficiente (0.00 kills/cast) pero muy infrautilizado vs Projectile,Mejorar feedback visual y comunicación del hechizo AOE para que los jugadores lo perciban como opción viable. Estadísticamente es eficiente.,EDA (datos WebGL limpios): AOE eff=0.000 via killedWith_*Aoe,False
"Fire, Earth",spell_balance,Alta,killedWith_Particle_System correspondía al Earth Blast (bug collider pre-fix): 154 kills mal etiquetados. Fire AOE registra 0 kills reales.,Earth Blast ya corregido en Unity (fix naming collider). Investigar por qué Fire AOE no genera kills: revisar si el collider de daño aplica correctamente o si el tag killedWith no se asigna al impacto.,preprocessing.py: killedWith_Particle_System → killedWith_Blast (Earth). Fire AOE: 0 kills con 40 casts en dataset limpio.,True
"Water, Wind",spell_balance,Alta,Water Projectile (0.12 kills/cast) y Wind Projectile (0.11 kills/cast) son 8-10x menos eficientes que Beam. Water AOE (0.056) y Wind AOE (0.088) también muy bajos.,"Revisar daño base y velocidad de Projectile para Water y Wind. Considerar añadir efectos de estado (Slow en Water, Knockback en Wind) al impacto del Projectile para compensar la menor eficiencia de kill directa.","killedWith_Projectile por elemento: Water=219, Wind=150 kills vs Fire=253. Eficiencia: Water=0.12, Wind=0.11, Fire=0.17 kills/cast.",False
Todos,ux,Media,"cast_accuracy no tiene correlación significativa con victoria (Spearman p=0.089, p_bonferroni=1.0). La precisión de puntería no distingue a ganadores de perdedores.",Evaluar si la precisión debe ser una habilidad recompensada. Si sí: aumentar daño/efectos de hechizos acertados y mejorar feedback visual/auditivo de impacto. Si no: simplificar el sistema de puntería para reducir fricción.,"Fase 3 (04_statistics): Spearman cast_accuracy vs isVictory p=0.0891, p_bonferroni=1.0000.",False
Todos,difficulty,Alta,Level1/Room_04 tiene la deaths_mean más alta (0.27) y damage_mean más alta (138.2) de todas las salas. Tendencia creciente en totalDeaths (Mann-Kendall p=0.000).,Revisar el diseño de encuentros de Level1/Room_04 específicamente: reducir número de enemigos o ajustar sus estadísticas. Añadir checkpoints o reducir spawn rate para suavizar el pico de dificultad.,game_tools.consultar_dificultad_salas(): Level1/Room_04 top dificultad. Mann-Kendall totalDeaths: tendencia increasing p=0.000.,False
Todos,element_balance,Media,"total_blocked es el predictor más significativo de victoria (Spearman p=0.003, effect_size=0.49). Los elementos con bajo win_rate (Water, Wind) no tienen mecánicas defensivas potentes.",Potenciar las mecánicas de bloqueo/escudo en Water y Wind. El escudo y la aura (ya en el juego) deben tener mayor impacto defensivo para compensar la menor eficiencia ofensiva de estos elementos.,"Fase 3 (04_statistics): Spearman total_blocked vs isVictory p=0.0030, effect_size=0.4937 — única correlación significativa con Bonferroni.",False
Todos,telemetry,Media,No hay telemetría que cruce playerElement con roomId y enemyType. Imposible saber si ciertos elementos rinden mal en salas o contra enemigos específicos.,Añadir playerElement al documento de sala en Firestore (rooms/{roomId}). Registrar kills y daño por tipo de enemigo desglosado por elemento para análisis de balance más granular.,Kruskal-Wallis kills_per_min entre elementos p=0.0118 (significativo) pero sin desglose por sala/enemigo que explique la causa.,False
"Fire, Earth",spell_balance,Alta,killedWith_Particle_System correspondia al Earth Blast (bug collider pre-fix): 154 kills mal etiquetados. Fire AOE registra 0 kills reales.,Earth Blast ya corregido en Unity (fix naming collider). Investigar por que Fire AOE no genera kills: revisar si el collider de dano aplica correctamente o si el tag killedWith no se asigna al impacto.,preprocessing.py: killedWith_Particle_System a killedWith_Blast (Earth). Fire AOE: 0 kills con 40 casts en dataset limpio.,True
"Water, Wind",spell_balance,Alta,Water Projectile (0.12 kills/cast) y Wind Projectile (0.11 kills/cast) son 8-10x menos eficientes que Beam. Water AOE (0.056) y Wind AOE (0.088) tambien muy bajos.,"Revisar dano base y velocidad de Projectile para Water y Wind. Considerar anadir efectos de estado (Slow en Water, Knockback en Wind) al impacto del Projectile para compensar la menor eficiencia de kill directa.","killedWith_Projectile por elemento: Water=219, Wind=150 kills. Eficiencia: Water=0.12, Wind=0.11 kills/cast vs Beam ~1.0+.",False
Todos,ux,Media,"cast_accuracy no tiene correlacion significativa con victoria (Spearman p=0.089, p_bonferroni=1.0). La precision de punteria no distingue a ganadores de perdedores.",Evaluar si la precision debe ser una habilidad recompensada. Si si: aumentar dano/efectos de hechizos acertados y mejorar feedback visual/auditivo. Si no: simplificar el sistema de punteria para reducir friccion.,"Fase 3 (04_statistics): Spearman cast_accuracy vs isVictory p=0.0891, p_bonferroni=1.0000.",False
Todos,difficulty,Alta,Level1/Room_04 tiene la deaths_mean mas alta (0.27) y damage_mean mas alta (138.2) de todas las salas. Tendencia creciente en totalDeaths (Mann-Kendall p=0.000).,Revisar el diseno de encuentros de Level1/Room_04: reducir numero de enemigos o ajustar estadisticas. Anadir checkpoints o reducir spawn rate para suavizar el pico de dificultad.,consultar_dificultad_salas(): Level1/Room_04 top dificultad. Mann-Kendall totalDeaths: tendencia increasing p=0.000.,False
Todos,element_balance,Media,"total_blocked es el predictor mas significativo de victoria (Spearman p=0.003, effect_size=0.49). Los elementos con bajo win_rate (Water, Wind) no tienen mecanicas defensivas potentes.",Potenciar las mecanicas de bloqueo/escudo en Water y Wind. El escudo y la aura deben tener mayor impacto defensivo para compensar la menor eficiencia ofensiva de estos elementos.,"Fase 3 (04_statistics): Spearman total_blocked vs isVictory p=0.0030, effect_size=0.4937 - unica correlacion significativa con Bonferroni.",False
Todos,sample_size,Alta,"Dataset insuficiente: n=35 sesiones limpias, Fire=11, Earth=7, Water=9, Wind=8",Recolectar mínimo 30 sesiones por elemento antes de tomar decisiones de balance basadas en estadística. Actualizar resultados con datos frescos.,Estadística Fase 3: check_sample_size() — todos los grupos < 30,False
